Code,Annual CO₂ emissions,Entity,Year
OWID_WRL,9305937.0,World,1750
OWID_WRL,9407229.0,World,1751
OWID_WRL,9505168.0,World,1752
OWID_WRL,9610490.0,World,1753
OWID_WRL,9733580.0,World,1754
OWID_WRL,9793468.0,World,1755
OWID_WRL,9909914.0,World,1756
OWID_WRL,10093936.0,World,1757
OWID_WRL,10216358.0,World,1758
OWID_WRL,10338854.0,World,1759
OWID_WRL,10514331.0,World,1760
OWID_WRL,10747885.0,World,1761
OWID_WRL,10952198.0,World,1762
OWID_WRL,11191592.0,World,1763
OWID_WRL,11396982.0,World,1764
OWID_WRL,11643486.0,World,1765
OWID_WRL,11876080.0,World,1766
OWID_WRL,12152509.0,World,1767
OWID_WRL,12466936.0,World,1768
OWID_WRL,12780074.0,World,1769
OWID_WRL,13097216.0,World,1770
OWID_WRL,13369488.0,World,1771
OWID_WRL,13623507.0,World,1772
OWID_WRL,13808138.0,World,1773
OWID_WRL,14012415.0,World,1774
OWID_WRL,14338920.0,World,1775
OWID_WRL,14654124.0,World,1776
OWID_WRL,14959537.0,World,1777
OWID_WRL,15243483.0,World,1778
OWID_WRL,15535235.0,World,1779
OWID_WRL,15878726.0,World,1780
OWID_WRL,16234383.0,World,1781
OWID_WRL,16580954.0,World,1782
OWID_WRL,17062752.0,World,1783
OWID_WRL,17471092.0,World,1784
OWID_WRL,17965128.0,World,1785
OWID_WRL,18447496.0,World,1786
OWID_WRL,18859130.0,World,1787
OWID_WRL,19286228.0,World,1788
OWID_WRL,19863424.0,World,1789
OWID_WRL,20398094.0,World,1790
OWID_WRL,20931750.0,World,1791
OWID_WRL,21929214.0,World,1792
OWID_WRL,22297260.0,World,1793
OWID_WRL,22519656.0,World,1794
OWID_WRL,22315246.0,World,1795
OWID_WRL,22121374.0,World,1796
OWID_WRL,22090078.0,World,1797
OWID_WRL,23105928.0,World,1798
OWID_WRL,27485206.0,World,1799
OWID_WRL,32798352.0,World,1800
OWID_WRL,31986050.0,World,1801
OWID_WRL,40310476.0,World,1802
OWID_WRL,29538506.0,World,1803
OWID_WRL,31769176.0,World,1804
OWID_WRL,31251818.0,World,1805
OWID_WRL,32704620.0,World,1806
OWID_WRL,36200652.0,World,1807
OWID_WRL,35497788.0,World,1808
OWID_WRL,36333812.0,World,1809
OWID_WRL,39492310.0,World,1810
OWID_WRL,40176680.0,World,1811
OWID_WRL,40814520.0,World,1812
OWID_WRL,41206140.0,World,1813
OWID_WRL,42226650.0,World,1814
OWID_WRL,43587264.0,World,1815
OWID_WRL,45496580.0,World,1816
OWID_WRL,49275920.0,World,1817
OWID_WRL,51392010.0,World,1818
OWID_WRL,50930170.0,World,1819
OWID_WRL,50733076.0,World,1820
OWID_WRL,52059348.0,World,1821
OWID_WRL,54021710.0,World,1822
OWID_WRL,56357760.0,World,1823
OWID_WRL,57583636.0,World,1824
OWID_WRL,60730864.0,World,1825
OWID_WRL,61382130.0,World,1826
OWID_WRL,65738572.0,World,1827
OWID_WRL,66681790.0,World,1828
OWID_WRL,66307412.0,World,1829
OWID_WRL,88988500.0,World,1830
OWID_WRL,83250904.0,World,1831
OWID_WRL,82091750.0,World,1832
OWID_WRL,83248940.0,World,1833
OWID_WRL,88763100.0,World,1834
OWID_WRL,97399600.0,World,1835
OWID_WRL,106894500.0,World,1836
OWID_WRL,106199420.0,World,1837
OWID_WRL,105845260.0,World,1838
OWID_WRL,109653030.0,World,1839
OWID_WRL,118808510.0,World,1840
OWID_WRL,122165550.0,World,1841
OWID_WRL,129388790.0,World,1842
OWID_WRL,132369384.0,World,1843
OWID_WRL,141966450.0,World,1844
OWID_WRL,155073400.0,World,1845
OWID_WRL,157701780.0,World,1846
OWID_WRL,170796750.0,World,1847
OWID_WRL,173643470.0,World,1848
OWID_WRL,185048030.0,World,1849
OWID_WRL,196847600.0,World,1850
OWID_WRL,198778540.0,World,1851
OWID_WRL,207595090.0,World,1852
OWID_WRL,217236980.0,World,1853
OWID_WRL,255038560.0,World,1854
OWID_WRL,260259860.0,World,1855
OWID_WRL,278245630.0,World,1856
